Cell Number,Trial Number,Stimulus Diameter,Spike Count,Layer
cell0,7,3.0000000000000004,10.0,b'LSG'
cell0,7,3.5000000000000004,7.0,b'LSG'
cell0,7,5.000000000000001,6.0,b'LSG'
cell0,7,10.000000000000002,10.0,b'LSG'
cell0,7,15.0,7.0,b'LSG'
cell0,7,20.000000000000004,8.0,b'LSG'
cell0,7,26.000000000000007,9.0,b'LSG'
cell0,8,0.10000000000000002,2.0,b'LSG'
cell0,8,0.20000000000000004,19.0,b'LSG'
cell0,8,0.4000000000000001,14.0,b'LSG'
cell0,8,0.5,8.0,b'LSG'
cell0,8,0.6000000000000001,8.0,b'LSG'
cell0,8,0.8000000000000002,14.0,b'LSG'
cell0,8,1.0,8.0,b'LSG'
cell0,8,1.2000000000000002,7.0,b'LSG'
cell0,8,1.4999999999999998,11.0,b'LSG'
cell0,8,1.8000000000000003,13.0,b'LSG'
cell0,8,1.9999999999999998,10.0,b'LSG'
cell0,8,2.4000000000000004,9.0,b'LSG'
cell0,8,3.0000000000000004,9.0,b'LSG'
cell0,8,3.5000000000000004,3.0,b'LSG'
cell0,8,5.000000000000001,7.0,b'LSG'
cell0,8,10.000000000000002,4.0,b'LSG'
cell0,8,15.0,12.0,b'LSG'
cell0,8,20.000000000000004,4.0,b'LSG'
cell0,8,26.000000000000007,3.0,b'LSG'
cell0,9,0.10000000000000002,11.0,b'LSG'
cell0,9,0.20000000000000004,22.0,b'LSG'
cell0,9,0.4000000000000001,4.0,b'LSG'
cell0,9,0.5,15.0,b'LSG'
cell0,9,0.6000000000000001,9.0,b'LSG'
cell0,9,0.8000000000000002,9.0,b'LSG'
cell0,9,1.0,13.0,b'LSG'
cell0,9,1.2000000000000002,22.0,b'LSG'
cell0,9,1.4999999999999998,13.0,b'LSG'
cell0,9,1.8000000000000003,8.0,b'LSG'
cell0,9,1.9999999999999998,16.0,b'LSG'
cell0,9,2.4000000000000004,20.0,b'LSG'
cell0,9,3.0000000000000004,8.0,b'LSG'
cell0,9,3.5000000000000004,9.0,b'LSG'
cell0,9,5.000000000000001,8.0,b'LSG'
cell0,9,10.000000000000002,2.0,b'LSG'
cell0,9,15.0,6.0,b'LSG'
cell0,9,20.000000000000004,9.0,b'LSG'
cell0,9,26.000000000000007,9.0,b'LSG'
cell0,10,0.10000000000000002,4.0,b'LSG'
cell0,10,0.20000000000000004,5.0,b'LSG'
cell0,10,0.4000000000000001,13.0,b'LSG'
cell0,10,0.5,15.0,b'LSG'
cell0,10,0.6000000000000001,16.0,b'LSG'
cell0,10,0.8000000000000002,7.0,b'LSG'
cell0,10,1.0,17.0,b'LSG'
cell0,10,1.2000000000000002,14.0,b'LSG'
cell0,10,1.4999999999999998,13.0,b'LSG'
cell0,10,1.8000000000000003,9.0,b'LSG'
cell0,10,1.9999999999999998,20.0,b'LSG'
cell0,10,2.4000000000000004,18.0,b'LSG'
cell0,10,3.0000000000000004,11.0,b'LSG'
cell0,10,3.5000000000000004,18.0,b'LSG'
cell0,10,5.000000000000001,9.0,b'LSG'
cell0,10,10.000000000000002,7.0,b'LSG'
cell0,10,15.0,11.0,b'LSG'
cell0,10,20.000000000000004,9.0,b'LSG'
cell0,10,26.000000000000007,8.0,b'LSG'
cell0,11,0.10000000000000002,9.0,b'LSG'
cell0,11,0.20000000000000004,9.0,b'LSG'
cell0,11,0.4000000000000001,13.0,b'LSG'
cell0,11,0.5,11.0,b'LSG'
cell0,11,0.6000000000000001,14.0,b'LSG'
cell0,11,0.8000000000000002,9.0,b'LSG'
cell0,11,1.0,19.0,b'LSG'
cell0,11,1.2000000000000002,16.0,b'LSG'
cell0,11,1.4999999999999998,10.0,b'LSG'
cell0,11,1.8000000000000003,10.0,b'LSG'
cell0,11,1.9999999999999998,8.0,b'LSG'
cell0,11,2.4000000000000004,11.0,b'LSG'
cell0,11,3.0000000000000004,14.0,b'LSG'
cell0,11,3.5000000000000004,10.0,b'LSG'
cell0,11,5.000000000000001,8.0,b'LSG'
cell0,11,10.000000000000002,11.0,b'LSG'
cell0,11,15.0,7.0,b'LSG'
cell0,11,20.000000000000004,2.0,b'LSG'
cell0,11,26.000000000000007,11.0,b'LSG'
cell0,12,0.10000000000000002,5.0,b'LSG'
cell0,12,0.20000000000000004,7.0,b'LSG'
cell0,12,0.4000000000000001,17.0,b'LSG'
cell0,12,0.5,11.0,b'LSG'
cell0,12,0.6000000000000001,9.0,b'LSG'
cell0,12,0.8000000000000002,13.0,b'LSG'
cell0,12,1.0,11.0,b'LSG'
cell0,12,1.2000000000000002,8.0,b'LSG'
cell0,12,1.4999999999999998,9.0,b'LSG'
cell0,12,1.8000000000000003,14.0,b'LSG'
cell0,12,1.9999999999999998,12.0,b'LSG'
cell0,12,2.4000000000000004,17.0,b'LSG'
cell0,12,3.0000000000000004,4.0,b'LSG'
cell0,12,3.5000000000000004,11.0,b'LSG'
cell0,12,5.000000000000001,13.0,b'LSG'
cell0,12,10.000000000000002,5.0,b'LSG'
cell0,12,15.0,4.0,b'LSG'
cell0,12,20.000000000000004,10.0,b'LSG'
cell0,12,26.000000000000007,10.0,b'LSG'
cell0,13,0.10000000000000002,7.0,b'LSG'
cell0,13,0.20000000000000004,14.0,b'LSG'
cell0,13,0.4000000000000001,21.0,b'LSG'
cell0,13,0.5,14.0,b'LSG'
cell0,13,0.6000000000000001,26.0,b'LSG'
cell0,13,0.8000000000000002,8.0,b'LSG'
cell0,13,1.0,15.0,b'LSG'
cell0,13,1.2000000000000002,10.0,b'LSG'
cell0,13,1.4999999999999998,15.0,b'LSG'
cell0,13,1.8000000000000003,20.0,b'LSG'
cell0,13,1.9999999999999998,4.0,b'LSG'
cell0,13,2.4000000000000004,6.0,b'LSG'
cell0,13,3.0000000000000004,22.0,b'LSG'
cell0,13,3.5000000000000004,13.0,b'LSG'
cell0,13,5.000000000000001,14.0,b'LSG'
cell0,13,10.000000000000002,9.0,b'LSG'
cell0,13,15.0,9.0,b'LSG'
cell0,13,20.000000000000004,13.0,b'LSG'
cell0,13,26.000000000000007,6.0,b'LSG'
cell0,14,0.10000000000000002,5.0,b'LSG'
cell0,14,0.20000000000000004,16.0,b'LSG'
cell0,14,0.4000000000000001,17.0,b'LSG'
cell0,14,0.5,9.0,b'LSG'
cell0,14,0.6000000000000001,13.0,b'LSG'
cell0,14,0.8000000000000002,10.0,b'LSG'
cell0,14,1.0,10.0,b'LSG'
cell0,14,1.2000000000000002,11.0,b'LSG'
cell0,14,1.4999999999999998,12.0,b'LSG'
cell0,14,1.8000000000000003,14.0,b'LSG'
cell0,14,1.9999999999999998,12.0,b'LSG'
cell0,14,2.4000000000000004,20.0,b'LSG'
cell0,14,3.0000000000000004,8.0,b'LSG'
cell0,14,3.5000000000000004,8.0,b'LSG'
